,dGr_prime,SD of dGr_prime
r_0543,-29.908360687377012,13.55212443914503
r_0544,-56.47639054983301,31.32104243622597
r_0545,15.634274532243126,12.345866436701447
r_0546,-17.23903566034096,12.206400064732922
r_0547,-17.239054734355932,13.057378372917638
r_0548,-17.253446290130114,21.42654578517318
r_0549,-10.442823735048222,13.64875455075833
r_0550,-310.5649456872813,115.55525607488406
r_0551,-295.66900187157216,115.55525607488406
r_0552,-310.6514537967402,115.5552587719883
r_0553,-27.481259555845533,5.719915359013557
r_0554,-43.264897395072495,5.7199157482322365
r_0555,-71.31985827687777,44.11674514185433
r_0556,-14.522720888150594,47.19474887704469
r_0557,-224.91206527962447,240.24618348684885
r_0558,-4.974056195057074,30.289661910538776
r_0560,-45.48605695953495,20.481011888820106
r_0561,-12.64399693303924,18.047006549367858
r_0562,-18.933899606653313,2.265197635461822
r_0563,-59.42222928061369,22.212431459925448
r_0564,-48.96323618956362,12.42807822829215
r_0565,-8.41311939883451,12.234632604179176
r_0566,-91.28057271669056,6.39533427870641
r_0567,-17.860972859382287,4.462734830366063
r_0568,-15.341599974613928,1.4405739917445628
r_0569,-29.59847533809352,1.4405739917445628
r_0570,-7.3190132016665075,12.19600835765679
r_0571,-0.32719252298829815,14.48763670309322
r_0572,-0.4024643723732879,11.993083110841239
r_0573,-0.3290861852328817,11.993100326731428
r_0574,-2.5187775978060714,9.570395823693575
r_0575,-2.4453994106652104,9.570374249666065
r_0596,-25.02780746468261,11.885594496362163
r_0597,-25.027685394370337,12.416727267152575
r_0598,-25.027682389562187,12.310120131843613
r_0599,-25.027560319249687,12.827674329817636
r_0600,-25.028052198762452,11.493495672675982
r_0601,-25.027563917512452,12.012999732523161
r_0602,-25.027743488165925,11.867467467722488
r_0603,-25.027804523322175,12.375421438404482
r_0604,-25.027923945915745,11.530988837177597
r_0605,-25.027313594353245,12.035678387620726
r_0606,-25.028045091638887,14.375728209348138
r_0607,-25.027556810388887,14.820396290001622
r_0608,-25.027677373494953,14.590586641665313
r_0609,-25.027555303182453,15.032311671367905
r_0610,-25.028289825630964,14.064248890756362
r_0611,-25.027618438912214,14.494455798015146
r_0612,-25.027723252560463,14.229924363910218
r_0613,-25.02780703996723,14.65877795624979
r_0614,-25.028026938532093,13.875531181047064
r_0615,-25.027309775446156,14.300320873744736
r_0616,-50.7769054834796,11.72739747904415
r_0617,-50.7762951319171,12.264398129147045
r_0618,-50.77652488818263,12.131650261191055
r_0619,-50.77603660693263,12.655574724536011
r_0620,-50.77732769957425,11.324693783584573
r_0621,-50.776290101918,11.850607369783813
r_0622,-50.77677066718912,11.677279668511739
r_0623,-50.77652652656503,12.192207592922648
r_0624,-50.777129417127306,11.32822140619784
r_0625,-50.776396995252306,11.84056011805464
r_0626,-26.67626993127601,11.885596479926612
r_0627,-26.676147860964647,12.416724671421393
r_0628,-26.6761372166236,12.31011692033516
r_0629,-26.67601514631201,12.827673584613512
r_0630,-26.67651626708448,11.493489927189362
r_0631,-26.676027985835617,12.01299558842198
r_0632,-26.676381592338203,11.867462509530062
r_0633,-26.676259522027067,12.375430014399365
r_0634,-26.676371804579503,11.530989145352342
r_0635,-26.675761453017913,12.035682987882613
r_0636,-26.676499145723028,14.375733770515879
r_0637,-26.676010864473028,14.82040242557418
r_0638,-26.67612782687138,14.590591046593527
r_0639,-26.67600575655888,15.032308482419337
r_0640,-26.67674548136938,14.064251456759864
r_0641,-26.676074094651085,14.494451098966394
r_0642,-26.676418124214706,14.229932549080228
r_0643,-26.676295610202487,14.658786474866226
r_0644,-26.67647365219682,13.875527070345482
r_0645,-26.67581752426713,14.300328917425034
r_0646,-22.691496301227247,11.727400961043788
r_0647,-22.690763879352247,12.26439219158227
r_0648,-22.691003710372527,12.131651095903726
r_0649,-22.690515429122073,12.65557184067849
r_0650,-22.69179982282226,11.324690137858994
r_0651,-22.690762225165557,11.850611862476136
r_0652,-22.691004153316,11.677273921964662
r_0653,-22.691004153316456,12.192205823443116
r_0654,-22.691612486608804,11.32822417069036
r_0655,-22.690880064733804,11.840559465319028
r_0656,-18.796847802541606,3.534701666400079
r_0657,-18.44501064430773,4.106626573431523
r_0658,14.285738087923846,12.228966388355424
r_0659,6.8777031905483454,13.078472722832934
r_0661,6.826317428517086,13.078476041340751
r_0662,16.764312171899746,2.207982886677633
r_0663,-1.6689915741933987,3.7604306672184062
r_0664,-1.6692810243218332,3.7604308676093905
r_0665,,
r_0666,,
r_0667,-3.016309020190647,7.384624929435089
r_0668,8.060279323350414,14.346298682645612
r_0669,-13.810592048881972,14.14143082354168
r_0670,-48.57845970382372,7.161171915722847
r_0671,-401.17841133826687,16.826684661280343
r_0672,-57.22778777734641,13.134054508458405
r_0673,-65.05921144080367,12.215138515215532
r_0674,2.8907210790771387,1.758829335856953
r_0675,4.923191660654055,2.202572420995166
r_0676,13.625792328620491,13.422207741097868
r_0678,4.457197556901519,13.180783438222806
r_0679,-34.66098458152209,57.00030204511935
r_0680,-34.689701080322266,57.000302064679666
r_0681,0.016191741971397278,2.4580062771579927
r_0682,0.032301597051855424,2.4580061668637936
r_0683,0.02579709060330515,2.4580065323844864
r_0687,,
r_0688,-3.792921748148501,13.313724012134692
r_0689,-50.621660226093866,56.99017703853514
r_0690,24.77629466715848,13.501539012065818
r_0691,17.825436549001097,12.071693035671414
r_0692,-42.77702091779604,57.013147319321114
r_0693,-57.74170075925083,57.01314729939906
r_0694,-359.83857302302226,7.3269351097183355
r_0695,-0.1387902795202649,21.39110017322397
r_0696,-42.58159331032766,12.1278476901089
r_0697,-18.893236428616035,6.433433014433224
r_0698,-105.17456054688091,46.67378168943369
r_0699,1.1103305444297007,3.0096527211558888
r_0700,1.111854901511208,3.0096526931495005
r_0701,,
r_0702,,
r_0703,-7.383509815163507,16.500884354959656
r_0704,-7.383570850319757,16.500883623776353
r_0705,-18.876218829154595,16.851581154275777
r_0706,-18.876218829154595,16.851587151367998
r_0707,-18.876218829154595,16.851582784116026
r_0708,-18.876218829154595,16.851583565719576
r_0711,,
r_0712,,
r_0713,20.14315343991575,12.070232344243701
r_0714,27.63074682134402,12.070228341473355
r_0715,27.62331903645179,12.070228087232833
r_0716,-46.524384433617776,13.482118926904127
r_0717,-46.79377779953047,13.482123404964247
r_0718,21.71510012756562,12.171446356414977
r_0719,21.71500595090015,13.02470185811244
r_0721,10.097448615669236,36.22066424868932
r_0722,-2.5065055945835866,12.893992634600588
r_0723,0.2629857199367507,0.9242259447243227
r_0724,-6.585219067054826,20.852668961092608
r_0725,-6.688040836556787,20.852669635914555
r_0726,-25.017662221524006,31.03190941085362
r_0727,-15.011776060212469,22.712444287038963
r_0728,-17.607370471255706,67.21680301490845
r_0729,,
r_0730,,
r_0731,3.865050148387354,24.126260416975246
r_0732,-3.8650692224020986,24.567770943676027
r_0733,3.710710150279283,24.567769353485076
r_0734,6.954951493823046,2.4056118157609574
r_0735,-14.719865920984354,6.645270121477301
r_0736,-14.719584971619248,10.951855709345576
r_0737,-14.71982384762348,14.38831927123131
r_0738,-14.719725037398803,10.616763090297274
r_0739,-31.319834425282124,7.3724909112152455
r_0747,-16.38039927071054,17.636366708199446
r_0748,-16.38003305977213,17.999980138875205
